,datetime,r_f,near_maturity_time,days_in_year,T1_min,next_maturity_time,T2_min,close
0,2024-05-10 09:31:00,0.017044,2024-05-17 09:30:00,242,7199.0,2024-06-21 09:30:00,41759.0,5637.0089
1,2024-05-10 09:32:00,0.017044,2024-05-17 09:30:00,242,7198.0,2024-06-21 09:30:00,41758.0,5633.1603
2,2024-05-10 09:33:00,0.017044,2024-05-17 09:30:00,242,7197.0,2024-06-21 09:30:00,41757.0,5634.427
3,2024-05-10 09:34:00,0.017044,2024-05-17 09:30:00,242,7196.0,2024-06-21 09:30:00,41756.0,5627.9074
4,2024-05-10 09:35:00,0.017044,2024-05-17 09:30:00,242,7195.0,2024-06-21 09:30:00,41755.0,5617.289
5,2024-05-10 09:36:00,0.017044,2024-05-17 09:30:00,242,7194.0,2024-06-21 09:30:00,41754.0,5614.978
6,2024-05-10 09:37:00,0.017044,2024-05-17 09:30:00,242,7193.0,2024-06-21 09:30:00,41753.0,5616.0658
7,2024-05-10 09:38:00,0.017044,2024-05-17 09:30:00,242,7192.0,2024-06-21 09:30:00,41752.0,5605.958
8,2024-05-10 09:39:00,0.017044,2024-05-17 09:30:00,242,7191.0,2024-06-21 09:30:00,41751.0,5611.0006
9,2024-05-10 09:40:00,0.017044,2024-05-17 09:30:00,242,7190.0,2024-06-21 09:30:00,41750.0,5611.2403
10,2024-05-10 09:41:00,0.017044,2024-05-17 09:30:00,242,7189.0,2024-06-21 09:30:00,41749.0,5600.0906
11,2024-05-10 09:42:00,0.017044,2024-05-17 09:30:00,242,7188.0,2024-06-21 09:30:00,41748.0,5596.1382
12,2024-05-10 09:43:00,0.017044,2024-05-17 09:30:00,242,7187.0,2024-06-21 09:30:00,41747.0,5599.4137
13,2024-05-10 09:44:00,0.017044,2024-05-17 09:30:00,242,7186.0,2024-06-21 09:30:00,41746.0,5601.8046
14,2024-05-10 09:45:00,0.017044,2024-05-17 09:30:00,242,7185.0,2024-06-21 09:30:00,41745.0,5601.8631
15,2024-05-10 09:46:00,0.017044,2024-05-17 09:30:00,242,7184.0,2024-06-21 09:30:00,41744.0,5592.9892
16,2024-05-10 09:47:00,0.017044,2024-05-17 09:30:00,242,7183.0,2024-06-21 09:30:00,41743.0,5592.4342
17,2024-05-10 09:48:00,0.017044,2024-05-17 09:30:00,242,7182.0,2024-06-21 09:30:00,41742.0,5597.8418
18,2024-05-10 09:49:00,0.017044,2024-05-17 09:30:00,242,7181.0,2024-06-21 09:30:00,41741.0,5595.2521
19,2024-05-10 09:50:00,0.017044,2024-05-17 09:30:00,242,7180.0,2024-06-21 09:30:00,41740.0,5596.9177
20,2024-05-10 09:51:00,0.017044,2024-05-17 09:30:00,242,7179.0,2024-06-21 09:30:00,41739.0,5594.2156
21,2024-05-10 09:52:00,0.017044,2024-05-17 09:30:00,242,7178.0,2024-06-21 09:30:00,41738.0,5591.0491
22,2024-05-10 09:53:00,0.017044,2024-05-17 09:30:00,242,7177.0,2024-06-21 09:30:00,41737.0,5580.8446
23,2024-05-10 09:54:00,0.017044,2024-05-17 09:30:00,242,7176.0,2024-06-21 09:30:00,41736.0,5581.1801
24,2024-05-10 09:55:00,0.017044,2024-05-17 09:30:00,242,7175.0,2024-06-21 09:30:00,41735.0,5577.4062
