datetime,r_f,near_Maturity_time,days_in_year,T1_min,next_Maturity_time,T2_min,close
2023-12-01 09:31:00,0.023439,2023-12-27 09:30:00,365,37439.0,2024-01-24 09:30:00,77759.0,0.904
2023-12-01 09:32:00,0.023439,2023-12-27 09:30:00,365,37438.0,2024-01-24 09:30:00,77758.0,0.903
2023-12-01 09:33:00,0.023439,2023-12-27 09:30:00,365,37437.0,2024-01-24 09:30:00,77757.0,0.903
2023-12-01 09:34:00,0.023439,2023-12-27 09:30:00,365,37436.0,2024-01-24 09:30:00,77756.0,0.904
2023-12-01 09:35:00,0.023439,2023-12-27 09:30:00,365,37435.0,2024-01-24 09:30:00,77755.0,0.904
2023-12-01 09:36:00,0.023439,2023-12-27 09:30:00,365,37434.0,2024-01-24 09:30:00,77754.0,0.905
2023-12-01 09:37:00,0.023439,2023-12-27 09:30:00,365,37433.0,2024-01-24 09:30:00,77753.0,0.905
2023-12-01 09:38:00,0.023439,2023-12-27 09:30:00,365,37432.0,2024-01-24 09:30:00,77752.0,0.904
2023-12-01 09:39:00,0.023439,2023-12-27 09:30:00,365,37431.0,2024-01-24 09:30:00,77751.0,0.903
2023-12-01 09:40:00,0.023439,2023-12-27 09:30:00,365,37430.0,2024-01-24 09:30:00,77750.0,0.902
2023-12-01 09:41:00,0.023439,2023-12-27 09:30:00,365,37429.0,2024-01-24 09:30:00,77749.0,0.903
2023-12-01 09:42:00,0.023439,2023-12-27 09:30:00,365,37428.0,2024-01-24 09:30:00,77748.0,0.904
2023-12-01 09:43:00,0.023439,2023-12-27 09:30:00,365,37427.0,2024-01-24 09:30:00,77747.0,0.903
2023-12-01 09:44:00,0.023439,2023-12-27 09:30:00,365,37426.0,2024-01-24 09:30:00,77746.0,0.903
2023-12-01 09:45:00,0.023439,2023-12-27 09:30:00,365,37425.0,2024-01-24 09:30:00,77745.0,0.902
2023-12-01 09:46:00,0.023439,2023-12-27 09:30:00,365,37424.0,2024-01-24 09:30:00,77744.0,0.904
2023-12-01 09:47:00,0.023439,2023-12-27 09:30:00,365,37423.0,2024-01-24 09:30:00,77743.0,0.903
2023-12-01 09:48:00,0.023439,2023-12-27 09:30:00,365,37422.0,2024-01-24 09:30:00,77742.0,0.903
2023-12-01 09:49:00,0.023439,2023-12-27 09:30:00,365,37421.0,2024-01-24 09:30:00,77741.0,0.903
2023-12-01 09:50:00,0.023439,2023-12-27 09:30:00,365,37420.0,2024-01-24 09:30:00,77740.0,0.902
2023-12-01 09:51:00,0.023439,2023-12-27 09:30:00,365,37419.0,2024-01-24 09:30:00,77739.0,0.903
2023-12-01 09:52:00,0.023439,2023-12-27 09:30:00,365,37418.0,2024-01-24 09:30:00,77738.0,0.903
2023-12-01 09:53:00,0.023439,2023-12-27 09:30:00,365,37417.0,2024-01-24 09:30:00,77737.0,0.902
2023-12-01 09:54:00,0.023439,2023-12-27 09:30:00,365,37416.0,2024-01-24 09:30:00,77736.0,0.902
2023-12-01 09:55:00,0.023439,2023-12-27 09:30:00,365,37415.0,2024-01-24 09:30:00,77735.0,0.902
2023-12-01 09:56:00,0.023439,2023-12-27 09:30:00,365,37414.0,2024-01-24 09:30:00,77734.0,0.901
2023-12-01 09:57:00,0.023439,2023-12-27 09:30:00,365,37413.0,2024-01-24 09:30:00,77733.0,0.902
2023-12-01 09:58:00,0.023439,2023-12-27 09:30:00,365,37412.0,2024-01-24 09:30:00,77732.0,0.902
2023-12-01 09:59:00,0.023439,2023-12-27 09:30:00,365,37411.0,2024-01-24 09:30:00,77731.0,0.902
2023-12-01 10:00:00,0.023439,2023-12-27 09:30:00,365,37410.0,2024-01-24 09:30:00,77730.0,0.902
2023-12-01 10:01:00,0.023439,2023-12-27 09:30:00,365,37409.0,2024-01-24 09:30:00,77729.0,0.902
2023-12-01 10:02:00,0.023439,2023-12-27 09:30:00,365,37408.0,2024-01-24 09:30:00,77728.0,0.903
2023-12-01 10:03:00,0.023439,2023-12-27 09:30:00,365,37407.0,2024-01-24 09:30:00,77727.0,0.904
2023-12-01 10:04:00,0.023439,2023-12-27 09:30:00,365,37406.0,2024-01-24 09:30:00,77726.0,0.904
2023-12-01 10:05:00,0.023439,2023-12-27 09:30:00,365,37405.0,2024-01-24 09:30:00,77725.0,0.904
2023-12-01 10:06:00,0.023439,2023-12-27 09:30:00,365,37404.0,2024-01-24 09:30:00,77724.0,0.904
2023-12-01 10:07:00,0.023439,2023-12-27 09:30:00,365,37403.0,2024-01-24 09:30:00,77723.0,0.902
2023-12-01 10:08:00,0.023439,2023-12-27 09:30:00,365,37402.0,2024-01-24 09:30:00,77722.0,0.903
2023-12-01 10:09:00,0.023439,2023-12-27 09:30:00,365,37401.0,2024-01-24 09:30:00,77721.0,0.902
2023-12-01 10:10:00,0.023439,2023-12-27 09:30:00,365,37400.0,2024-01-24 09:30:00,77720.0,0.903
2023-12-01 10:11:00,0.023439,2023-12-27 09:30:00,365,37399.0,2024-01-24 09:30:00,77719.0,0.902
2023-12-01 10:12:00,0.023439,2023-12-27 09:30:00,365,37398.0,2024-01-24 09:30:00,77718.0,0.903
2023-12-01 10:13:00,0.023439,2023-12-27 09:30:00,365,37397.0,2024-01-24 09:30:00,77717.0,0.902
2023-12-01 10:14:00,0.023439,2023-12-27 09:30:00,365,37396.0,2024-01-24 09:30:00,77716.0,0.903
2023-12-01 10:15:00,0.023439,2023-12-27 09:30:00,365,37395.0,2024-01-24 09:30:00,77715.0,0.902
2023-12-01 10:16:00,0.023439,2023-12-27 09:30:00,365,37394.0,2024-01-24 09:30:00,77714.0,0.902
2023-12-01 10:17:00,0.023439,2023-12-27 09:30:00,365,37393.0,2024-01-24 09:30:00,77713.0,0.901
2023-12-01 10:18:00,0.023439,2023-12-27 09:30:00,365,37392.0,2024-01-24 09:30:00,77712.0,0.901
2023-12-01 10:19:00,0.023439,2023-12-27 09:30:00,365,37391.0,2024-01-24 09:30:00,77711.0,0.902
2023-12-01 10:20:00,0.023439,2023-12-27 09:30:00,365,37390.0,2024-01-24 09:30:00,77710.0,0.902
2023-12-01 10:21:00,0.023439,2023-12-27 09:30:00,365,37389.0,2024-01-24 09:30:00,77709.0,0.902
2023-12-01 10:22:00,0.023439,2023-12-27 09:30:00,365,37388.0,2024-01-24 09:30:00,77708.0,0.901
2023-12-01 10:23:00,0.023439,2023-12-27 09:30:00,365,37387.0,2024-01-24 09:30:00,77707.0,0.901
2023-12-01 10:24:00,0.023439,2023-12-27 09:30:00,365,37386.0,2024-01-24 09:30:00,77706.0,0.902
2023-12-01 10:25:00,0.023439,2023-12-27 09:30:00,365,37385.0,2024-01-24 09:30:00,77705.0,0.901
2023-12-01 10:26:00,0.023439,2023-12-27 09:30:00,365,37384.0,2024-01-24 09:30:00,77704.0,0.901
2023-12-01 10:27:00,0.023439,2023-12-27 09:30:00,365,37383.0,2024-01-24 09:30:00,77703.0,0.902
2023-12-01 10:28:00,0.023439,2023-12-27 09:30:00,365,37382.0,2024-01-24 09:30:00,77702.0,0.901
2023-12-01 10:29:00,0.023439,2023-12-27 09:30:00,365,37381.0,2024-01-24 09:30:00,77701.0,0.901
2023-12-01 10:30:00,0.023439,2023-12-27 09:30:00,365,37380.0,2024-01-24 09:30:00,77700.0,0.902
2023-12-01 10:31:00,0.023439,2023-12-27 09:30:00,365,37379.0,2024-01-24 09:30:00,77699.0,0.902
2023-12-01 10:32:00,0.023439,2023-12-27 09:30:00,365,37378.0,2024-01-24 09:30:00,77698.0,0.902
2023-12-01 10:33:00,0.023439,2023-12-27 09:30:00,365,37377.0,2024-01-24 09:30:00,77697.0,0.902
2023-12-01 10:34:00,0.023439,2023-12-27 09:30:00,365,37376.0,2024-01-24 09:30:00,77696.0,0.901
2023-12-01 10:35:00,0.023439,2023-12-27 09:30:00,365,37375.0,2024-01-24 09:30:00,77695.0,0.902
2023-12-01 10:36:00,0.023439,2023-12-27 09:30:00,365,37374.0,2024-01-24 09:30:00,77694.0,0.902
2023-12-01 10:37:00,0.023439,2023-12-27 09:30:00,365,37373.0,2024-01-24 09:30:00,77693.0,0.901
2023-12-01 10:38:00,0.023439,2023-12-27 09:30:00,365,37372.0,2024-01-24 09:30:00,77692.0,0.902
2023-12-01 10:39:00,0.023439,2023-12-27 09:30:00,365,37371.0,2024-01-24 09:30:00,77691.0,0.902
2023-12-01 10:40:00,0.023439,2023-12-27 09:30:00,365,37370.0,2024-01-24 09:30:00,77690.0,0.902
2023-12-01 10:41:00,0.023439,2023-12-27 09:30:00,365,37369.0,2024-01-24 09:30:00,77689.0,0.901
2023-12-01 10:42:00,0.023439,2023-12-27 09:30:00,365,37368.0,2024-01-24 09:30:00,77688.0,0.902
2023-12-01 10:43:00,0.023439,2023-12-27 09:30:00,365,37367.0,2024-01-24 09:30:00,77687.0,0.901
2023-12-01 10:44:00,0.023439,2023-12-27 09:30:00,365,37366.0,2024-01-24 09:30:00,77686.0,0.901
2023-12-01 10:45:00,0.023439,2023-12-27 09:30:00,365,37365.0,2024-01-24 09:30:00,77685.0,0.901
2023-12-01 10:46:00,0.023439,2023-12-27 09:30:00,365,37364.0,2024-01-24 09:30:00,77684.0,0.902
2023-12-01 10:47:00,0.023439,2023-12-27 09:30:00,365,37363.0,2024-01-24 09:30:00,77683.0,0.902
2023-12-01 10:48:00,0.023439,2023-12-27 09:30:00,365,37362.0,2024-01-24 09:30:00,77682.0,0.901
2023-12-01 10:49:00,0.023439,2023-12-27 09:30:00,365,37361.0,2024-01-24 09:30:00,77681.0,0.902
2023-12-01 10:50:00,0.023439,2023-12-27 09:30:00,365,37360.0,2024-01-24 09:30:00,77680.0,0.902
2023-12-01 10:51:00,0.023439,2023-12-27 09:30:00,365,37359.0,2024-01-24 09:30:00,77679.0,0.902
2023-12-01 10:52:00,0.023439,2023-12-27 09:30:00,365,37358.0,2024-01-24 09:30:00,77678.0,0.902
2023-12-01 10:53:00,0.023439,2023-12-27 09:30:00,365,37357.0,2024-01-24 09:30:00,77677.0,0.901
2023-12-01 10:54:00,0.023439,2023-12-27 09:30:00,365,37356.0,2024-01-24 09:30:00,77676.0,0.901
2023-12-01 10:55:00,0.023439,2023-12-27 09:30:00,365,37355.0,2024-01-24 09:30:00,77675.0,0.901
2023-12-01 10:56:00,0.023439,2023-12-27 09:30:00,365,37354.0,2024-01-24 09:30:00,77674.0,0.902
2023-12-01 10:57:00,0.023439,2023-12-27 09:30:00,365,37353.0,2024-01-24 09:30:00,77673.0,0.901
