strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.5,10006857,10006858,0.2988,0.0001,0.2987,0.0001
0.55,10006829,10006830,0.254,0.0002,0.2538,0.0002
0.6,10006613,10006614,0.2018,0.0003,0.2015,0.0003
0.65,10006499,10006500,0.1492,0.0005,0.1487,0.0005
0.7,10006221,10006230,0.1054,0.0014,0.104,0.0014
0.75,10006222,10006231,0.0618,0.0065,0.0553,0.0065
0.8,10006223,10006232,0.0291,0.0231,0.006000000000000002,0.0231
0.85,10006224,10006233,0.0122,0.0568,0.0446,0.0122
0.9,10006225,10006234,0.0054,0.0984,0.093,0.0054
0.95,10006226,10006235,0.0016,0.154,0.1524,0.0016
1.0,10006227,10006236,0.0011,0.2032,0.2021,0.0011
1.05,10006228,10006237,0.0006,0.2472,0.2466,0.0006
1.1,10006229,10006238,0.0004,0.3014,0.301,0.0004
1.15,10006267,10006268,0.0001,0.3507,0.3506,0.0001
