strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.5,10006857,10006858,0.2877,0.0001,0.2876,0.0001
0.55,10006829,10006830,0.236,0.0001,0.2359,0.0001
0.6,10006613,10006614,0.1862,0.0001,0.18610000000000002,0.0001
0.65,10006499,10006500,0.1385,0.0001,0.13840000000000002,0.0001
0.7,10006221,10006230,0.0899,0.0003,0.0896,0.0003
0.75,10006222,10006231,0.0417,0.0022,0.0395,0.0022
0.8,10006223,10006232,0.0102,0.0199,0.0097,0.0102
0.85,10006224,10006233,0.0018,0.062,0.0602,0.0018
0.9,10006225,10006234,0.0003,0.1116,0.11130000000000001,0.0003
0.95,10006226,10006235,0.0002,0.161,0.1608,0.0002
1.0,10006227,10006236,0.0001,0.2101,0.21000000000000002,0.0001
1.05,10006228,10006237,0.0001,0.2621,0.262,0.0001
1.1,10006229,10006238,0.0001,0.3131,0.313,0.0001
1.15,10006267,10006268,0.0001,0.363,0.3629,0.0001
