strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.55,10007135,10007136,0.2536,0.0001,0.2535,0.0001
0.6,10007089,10007098,0.1999,0.0001,0.1998,0.0001
0.65,10007090,10007099,0.1508,0.0001,0.1507,0.0001
0.7,10007091,10007100,0.0991,0.0002,0.09889999999999999,0.0002
0.75,10007092,10007101,0.0499,0.0015,0.0484,0.0015
0.8,10007093,10007102,0.0129,0.0138,0.0008999999999999998,0.0129
0.85,10007094,10007103,0.0025,0.0531,0.0506,0.0025
0.9,10007095,10007104,0.0003,0.1002,0.0999,0.0003
0.95,10007096,10007105,0.0001,0.1525,0.1524,0.0001
1.0,10007097,10007106,0.0001,0.1993,0.19920000000000002,0.0001
